"dim","Fbest_media_cfg1","Fbest_media_cfg2"
2,0.0148214904483715,0.119313366732624
3,1.67852485809031e-11,0.420631554745811
4,1.53921788835541e-05,1.80124981257842
5,0.115109397813222,2.98206537787492
7,3.17825760019508,20.5878064964829
8,10.1628161940318,76.5216348731376
9,44.2124731406986,154.889596531646
10,106.528369676374,574.870200081805
11,260.382253718452,1250.45748038473
12,513.727899412761,3511.62504033164
13,1158.69089823165,6808.17981487806
14,2188.44303651814,15368.5634582664
15,3752.29743732298,22377.9840983889
17,9644.10400668448,53291.0086946994
18,15496.870418122,87218.3636370622
19,20045.6312501135,118467.903329894
20,27804.1424741217,156981.942425268
23,56382.058203838,271523.471739903
24,59670.3062555096,319046.955074559
25,68602.9963876774,351049.983980263
26,86255.0655522638,405715.19828137
27,104494.499648857,437337.728755428
28,110363.856367656,490857.107611501
29,138447.412488238,540825.528941018
30,152561.219500526,614956.327391592
31,144927.558912677,666500.955712401
32,181685.999814649,717413.065477829
33,179796.811363789,776173.151631651
34,228338.188240853,801083.469087262
35,213860.876937271,867350.884813863
36,265448.636445553,955329.881259141
38,276869.342649466,1052134.31331592
39,311505.414332432,1124426.9612287
40,314050.520381526,1180515.32003725
