"dim","Fbest_media_cfg1","Fbest_media_cfg2"
2,1.52639326087564e-27,0.079069779880581
3,2.28399365898259e-12,0.116946198175396
4,0.00251656123153725,1.48835374280987
11,320.68952017098,1291.48227665496
13,1035.32920286025,6883.48433918622
14,2527.61253030467,13621.9535297485
15,4431.76269242743,20869.939446355
17,11123.5950969241,57136.6265618566
21,31138.8023816797,179184.749968322
31,185023.881411952,651673.040685669
39,314338.569607398,1142757.4629439
41,364449.899962324,1242284.1103478
52,662958.47867243,2009329.01615935
59,882014.451051945,2493813.01529417
61,838211.742648106,2585814.75110465
63,912828.643042214,2652070.25114186
65,994298.978817829,2958198.35905049
73,1334938.7033127,3636300.10290839
76,1261250.3884252,3988917.3365281
81,1569175.43977272,4641497.29551777
87,1743331.1343264,5467330.74121816
94,2298563.84141765,6187792.81965914
95,2061153.44988671,6165886.16819467
97,2264818.52193398,6386812.07855646
99,1997914.0159559,6800573.16606829
104,2556305.38891631,7222141.89435246
106,2418701.46948054,7458452.64754145
107,2583424.35854046,7746012.14947359
117,2953117.68589079,8238750.51613145
120,3105712.68304709,8612090.94269831
141,3705396.15356054,10723011.849255
143,3526795.24532494,11215504.180159
145,3782254.53459561,11010377.0179539
146,3929548.00168467,10903516.2844922
