"dim","Fbest_media_cfg1","Fbest_media_cfg2"
2,0.0113837617189693,2.76403991975673
3,0.450222733628029,2.57703761772673
4,3.43476095239541,1.70829047586326
11,29548.4095602068,5.75323017269825
13,66244.1628808507,10.5830163035746
14,98557.1724953482,12.5769406826597
15,113398.613474835,13.8330755629936
17,183281.151045404,21.4620632478359
21,297643.488903768,46.0038849859897
31,672488.696616993,214.63704895398
39,994949.987728993,568.264759102743
41,1059004.38607733,754.385544857229
52,1651878.17472227,2719.77878375213
59,2658968.90950939,5493.27333561853
61,2890160.28218785,7423.14961735849
63,3171750.80412131,9025.94419247339
65,3484611.06149577,10466.490267163
73,4294543.05572977,21731.9495637789
76,4810215.73599952,26208.1493585528
81,5183785.25877471,39152.1435388166
87,5583854.47171447,57728.1827911348
94,6209316.44975925,90376.466974801
95,6421436.1815978,96861.8456071269
97,6485820.20211857,102509.843285304
99,6765910.28203366,119355.906320561
104,7251380.57865699,150866.052180228
106,7511436.24552011,178035.811607785
107,7497732.76992291,183431.503594624
117,8426010.25655752,270877.466150021
120,8678089.36354889,311371.725637135
141,10758795.7358854,606498.921830148
143,10860981.9553596,646003.957294404
145,11055108.5705237,674740.400421157
146,11160996.0440999,676149.412140397
