"dim","Fbest_cfg1","Fbest_cfg2","diff_cfg2_cfg1"
2,8.01618048235884e-24,0.803847457846314,0.803847457846314
3,2.61619364588942e-18,1.08162799586832,1.08162799586832
4,3.58697954720571e-05,2.09822717789275,2.09819130809728
11,362.759071471214,692.097818560778,329.338747089564
13,1351.217418837,5703.13142907686,4351.91401023987
14,1948.56894632965,19910.827521794,17962.2585754644
15,3185.28909012563,20390.8911204466,17205.6020303209
17,9025.35940614321,54372.195786831,45346.8363806878
21,23852.3014365294,175739.663681793,151887.362245263
31,102940.45788403,695084.345100816,592143.887216785
39,369997.099533784,1096433.90016883,726436.80063505
41,483665.654411593,1133406.61453579,649740.960124201
52,456613.61451595,1998647.33067716,1542033.71616121
59,796293.096976641,2220572.39166983,1424279.29469319
61,1081415.2107212,2413958.48858096,1332543.27785976
63,877961.034557581,2761558.4061753,1883597.37161771
65,863042.468450911,2503583.84767829,1640541.37922738
73,1273837.93046714,4004276.05073886,2730438.12027172
76,1090497.24910102,4035134.71371509,2944637.46461407
81,1709804.24211783,3568264.42317638,1858460.18105855
87,1610645.24368674,5015898.06534518,3405252.82165844
94,1177847.49715338,6476289.50752137,5298442.01036799
95,1882934.85869155,6815387.38405514,4932452.52536359
97,1946124.70647767,6073364.5038395,4127239.79736183
99,2300599.95228374,6416469.80862885,4115869.85634511
104,2527695.71314877,6922945.27181363,4395249.55866485
106,3266089.41534653,7942832.7254596,4676743.31011307
107,1850120.25624242,7895709.65147124,6045589.39522882
117,2985352.32409911,8499418.62023334,5514066.29613423
120,2921180.6392379,8602516.49232872,5681335.85309081
141,4810806.59186446,10732245.5609847,5921438.96912025
143,4428633.53069522,10877285.9761087,6448652.44541346
145,3357075.24476257,11462515.7302555,8105440.48549293
146,3333168.79498206,9463341.94526182,6130173.15027975
