dataset,seed,metodo,acuracia,precisao,recall,f1_score,tempo,best_params
Breast Cancer,1,GridSearch,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.39620232582092285,"{'C': np.float64(21.544346900318846), 'gamma': np.float64(0.004641588833612782)}"
Breast Cancer,1,RandomSearch,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.2500290870666504,"{'C': 145.28246637516034, 'gamma': 0.0011526449540315616}"
Breast Cancer,1,BayesianOptimization,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,1.7908034324645996,"{'C': 96.09812947036423, 'gamma': 0.0008263688714158015}"
Titanic,1,GridSearch,0.8547486033519553,0.9056603773584906,0.6956521739130435,0.7868852459016393,0.8680639266967773,"{'C': np.float64(1000.0), 'gamma': np.float64(0.004641588833612782)}"
Titanic,1,RandomSearch,0.8324022346368715,0.8095238095238095,0.7391304347826086,0.7727272727272727,0.42874646186828613,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Titanic,1,BayesianOptimization,0.8268156424581006,0.796875,0.7391304347826086,0.7669172932330827,2.381676435470581,"{'C': 79.15074397656232, 'gamma': 0.0964385761594144}"
Water Potability,1,GridSearch,0.6905487804878049,0.8192771084337349,0.265625,0.40117994100294985,8.32113766670227,"{'C': np.float64(1000.0), 'gamma': np.float64(0.004641588833612782)}"
Water Potability,1,RandomSearch,0.6905487804878049,0.6244131455399061,0.51953125,0.5671641791044776,6.188711404800415,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Water Potability,1,BayesianOptimization,0.7012195121951219,0.65625,0.4921875,0.5625,14.486198902130127,"{'C': 46.146880413436214, 'gamma': 0.07293679274749323}"
Employee,1,GridSearch,0.8399570354457573,0.8489795918367347,0.65,0.736283185840708,21.420687675476074,"{'C': np.float64(1000.0), 'gamma': np.float64(0.004641588833612782)}"
Employee,1,RandomSearch,0.8431793770139635,0.8320610687022901,0.68125,0.7491408934707904,9.277719736099243,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Employee,1,BayesianOptimization,0.8399570354457573,0.8202247191011236,0.684375,0.7461669505962522,40.806926250457764,"{'C': 79.15074397656232, 'gamma': 0.0964385761594144}"
Weather,1,GridSearch,0.8575,0.7549019607843137,0.5238095238095238,0.6184738955823293,108.74621200561523,"{'C': np.float64(1000.0), 'gamma': np.float64(0.0001)}"
Weather,1,RandomSearch,0.858,0.7343283582089553,0.5578231292517006,0.634020618556701,84.71334075927734,"{'C': 145.28246637516034, 'gamma': 0.0011526449540315616}"
Weather,1,BayesianOptimization,0.86,0.7639344262295082,0.528344671201814,0.6246648793565683,79.14193344116211,"{'C': 492.9053648241689, 'gamma': 0.00010090061869151568}"
Breast Cancer,2,GridSearch,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.33208298683166504,"{'C': np.float64(21.544346900318846), 'gamma': np.float64(0.004641588833612782)}"
Breast Cancer,2,RandomSearch,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.2368941307067871,"{'C': 145.28246637516034, 'gamma': 0.0011526449540315616}"
Breast Cancer,2,BayesianOptimization,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,2.294199228286743,"{'C': 96.09812947036423, 'gamma': 0.0008263688714158015}"
Titanic,2,GridSearch,0.8212290502793296,0.9111111111111111,0.5942028985507246,0.7192982456140351,0.7267124652862549,"{'C': np.float64(1000.0), 'gamma': np.float64(0.004641588833612782)}"
Titanic,2,RandomSearch,0.8435754189944135,0.8727272727272727,0.6956521739130435,0.7741935483870968,0.4083118438720703,"{'C': 1.9069966103000435, 'gamma': 0.8431013932082465}"
